# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
1.600000000000000000e+01 6.875000000000000000e-01 9.300000000000000000e+01 4.782608695652174058e-01 5.191127890514393370e-03 5.500000000000000000e+01 5.641025641025640969e-01 5.191127890514393370e-03
1.900000000000000000e+01 8.947368421052631637e-01 9.300000000000000000e+01 7.391304347826086474e-01 8.555611474584801437e-03 9.300000000000000000e+01 8.095238095238095344e-01 8.555611474584801437e-03
1.900000000000000000e+01 7.368421052631578538e-01 9.300000000000000000e+01 6.666666666666666297e-01 1.033210332103321090e-02 7.800000000000000000e+01 6.999999999999999556e-01 1.033210332103321090e-02
1.800000000000000000e+01 8.333333333333333703e-01 9.300000000000000000e+01 7.894736842105263275e-01 1.891551071878940643e-02 6.400000000000000000e+01 8.108108108108108558e-01 1.891551071878940643e-02
1.800000000000000000e+01 6.111111111111111605e-01 9.300000000000000000e+01 8.461538461538461453e-01 6.221719457013574241e-03 7.200000000000000000e+01 7.096774193548387455e-01 6.221719457013574241e-03
1.100000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 8.750000000000000000e-01 8.750000000000000000e-01 2.200000000000000000e+01 9.333333333333333481e-01 8.750000000000000000e-01
8.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 8.888888888888888395e-01 8.888888888888888395e-01 2.800000000000000000e+01 9.411764705882352811e-01 8.888888888888888395e-01
1.300000000000000000e+01 6.923076923076922906e-01 9.300000000000000000e+01 8.181818181818182323e-01 2.195121951219512202e-01 4.500000000000000000e+01 7.500000000000000000e-01 2.195121951219512202e-01
1.000000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.090909090909090606e-01 9.090909090909090606e-01 9.100000000000000000e+01 9.523809523809523281e-01 9.090909090909090606e-01
2.600000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 7.027027027027027417e-01 3.286978508217446027e-02 5.000000000000000000e+01 8.253968253968253510e-01 3.286978508217446027e-02
1.500000000000000000e+01 9.333333333333333481e-01 9.300000000000000000e+01 8.750000000000000000e-01 3.954802259887005983e-02 5.000000000000000000e+01 9.032258064516128782e-01 3.954802259887005983e-02
1.100000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 7.857142857142856984e-01 7.857142857142856984e-01 1.190000000000000000e+02 8.800000000000000044e-01 7.857142857142856984e-01
2.800000000000000000e+01 8.214285714285713969e-01 9.300000000000000000e+01 8.846153846153845812e-01 1.314285714285714224e-01 8.500000000000000000e+01 8.518518518518518601e-01 1.314285714285714224e-01
2.800000000000000000e+01 6.785714285714286031e-01 9.300000000000000000e+01 9.047619047619047672e-01 8.837209302325581273e-02 8.900000000000000000e+01 7.755102040816326259e-01 8.837209302325581273e-02
2.800000000000000000e+01 7.142857142857143016e-01 9.300000000000000000e+01 8.333333333333333703e-01 1.015228426395939076e-01 6.300000000000000000e+01 7.692307692307692735e-01 1.015228426395939076e-01
1.700000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 5.900000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.300000000000000000e+01 2.307692307692307820e-01 9.300000000000000000e+01 4.285714285714285476e-01 8.823529411764706454e-02 3.100000000000000000e+01 2.999999999999999889e-01 8.823529411764706454e-02
1.600000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 8.888888888888888395e-01 2.461538461538461675e-01 7.800000000000000000e+01 9.411764705882352811e-01 2.461538461538461675e-01
3.400000000000000000e+01 8.235294117647058432e-01 9.300000000000000000e+01 9.655172413793103869e-01 6.511627906976744096e-02 5.200000000000000000e+01 8.888888888888888395e-01 6.511627906976744096e-02
2.800000000000000000e+01 9.642857142857143016e-01 9.300000000000000000e+01 9.310344827586206629e-01 1.323529411764705899e-01 1.050000000000000000e+02 9.473684210526315264e-01 1.323529411764705899e-01
2.600000000000000000e+01 9.615384615384615641e-01 9.300000000000000000e+01 8.928571428571429047e-01 1.524390243902438991e-01 5.700000000000000000e+01 9.259259259259259300e-01 1.524390243902438991e-01
1.700000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 8.947368421052631637e-01 8.947368421052631637e-01 7.600000000000000000e+01 9.444444444444444198e-01 8.947368421052631637e-01
2.800000000000000000e+01 5.000000000000000000e-01 9.300000000000000000e+01 6.999999999999999556e-01 4.575163398692810163e-02 8.200000000000000000e+01 5.833333333333333703e-01 4.575163398692810163e-02
1.600000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 8.888888888888888395e-01 8.888888888888888395e-01 4.700000000000000000e+01 9.411764705882352811e-01 8.888888888888888395e-01
9.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 9.000000000000000222e-01 9.000000000000000222e-01 2.600000000000000000e+01 9.473684210526315264e-01 9.000000000000000222e-01
1.200000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 3.600000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 3.400000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.000000000000000000e+00 8.750000000000000000e-01 9.300000000000000000e+01 8.750000000000000000e-01 2.333333333333333370e-01 2.500000000000000000e+01 8.750000000000000000e-01 2.333333333333333370e-01
1.300000000000000000e+01 6.923076923076922906e-01 9.300000000000000000e+01 6.923076923076922906e-01 1.139240506329113889e-01 4.300000000000000000e+01 6.923076923076922906e-01 1.139240506329113889e-01
1.400000000000000000e+01 5.000000000000000000e-01 9.300000000000000000e+01 7.777777777777777901e-01 3.684210526315789130e-02 3.500000000000000000e+01 6.086956521739130821e-01 3.684210526315789130e-02
1.300000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 3.600000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.900000000000000000e+01 3.157894736842105088e-01 9.300000000000000000e+01 5.454545454545454142e-01 2.448979591836734568e-02 3.400000000000000000e+01 4.000000000000000222e-01 2.448979591836734568e-02
2.800000000000000000e+01 7.500000000000000000e-01 9.300000000000000000e+01 5.833333333333333703e-01 1.971830985915493106e-02 1.000000000000000000e+02 6.562500000000000000e-01 1.971830985915493106e-02
1.000000000000000000e+01 8.000000000000000444e-01 9.300000000000000000e+01 1.000000000000000000e+00 3.333333333333333148e-01 2.300000000000000000e+01 8.888888888888888395e-01 3.333333333333333148e-01
1.600000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.411764705882352811e-01 7.272727272727272929e-01 4.800000000000000000e+01 9.696969696969697239e-01 7.272727272727272929e-01
1.800000000000000000e+01 3.888888888888888951e-01 9.300000000000000000e+01 4.375000000000000000e-01 2.028985507246376663e-02 1.170000000000000000e+02 4.117647058823529216e-01 2.028985507246376663e-02
2.100000000000000000e+01 4.285714285714285476e-01 9.300000000000000000e+01 8.181818181818182323e-01 2.513966480446927498e-02 6.800000000000000000e+01 5.625000000000000000e-01 2.513966480446927498e-02
1.500000000000000000e+01 5.333333333333333259e-01 9.300000000000000000e+01 7.272727272727272929e-01 1.230769230769230838e-01 4.600000000000000000e+01 6.153846153846154188e-01 1.230769230769230838e-01
4.500000000000000000e+01 5.333333333333333259e-01 9.300000000000000000e+01 1.000000000000000000e+00 4.060913705583756028e-02 1.120000000000000000e+02 6.956521739130434590e-01 4.060913705583756028e-02
3.200000000000000000e+01 3.437500000000000000e-01 9.300000000000000000e+01 8.461538461538461453e-01 1.564722617354196224e-02 8.500000000000000000e+01 4.888888888888888729e-01 1.564722617354196224e-02
2.300000000000000000e+01 6.956521739130434590e-01 9.300000000000000000e+01 8.888888888888888395e-01 7.547169811320754429e-02 6.100000000000000000e+01 7.804878048780488076e-01 7.547169811320754429e-02
1.900000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.047619047619047672e-01 9.047619047619047672e-01 1.050000000000000000e+02 9.499999999999999556e-01 9.047619047619047672e-01
1.500000000000000000e+01 8.666666666666666963e-01 9.300000000000000000e+01 7.647058823529411242e-01 4.193548387096774355e-01 7.100000000000000000e+01 8.125000000000000000e-01 4.193548387096774355e-01
2.000000000000000000e+01 6.500000000000000222e-01 9.300000000000000000e+01 7.647058823529411242e-01 4.318936877076411801e-02 9.500000000000000000e+01 7.027027027027027417e-01 4.318936877076411801e-02
1.000000000000000000e+01 6.999999999999999556e-01 9.300000000000000000e+01 6.999999999999999556e-01 1.272727272727272596e-01 3.500000000000000000e+01 6.999999999999999556e-01 1.272727272727272596e-01
7.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+01 8.750000000000000000e-01 8.750000000000000000e-01 2.700000000000000000e+01 9.333333333333333481e-01 8.750000000000000000e-01
1.100000000000000000e+01 5.454545454545454142e-01 9.300000000000000000e+01 5.999999999999999778e-01 1.034482758620689641e-01 2.400000000000000000e+01 5.714285714285713969e-01 1.034482758620689641e-01
