# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	blocks	f1score	accuracy
2.200000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 9.166666666666666297e-01 1.700000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 9.166666666666666297e-01
2.600000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 9.285714285714286031e-01 1.900000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 9.285714285714286031e-01
9.500000000000000000e+01 1.473684210526315652e-01 7.300000000000000000e+01 4.117647058823529216e-01 1.217391304347826136e-01 8.900000000000000000e+01 1.000000000000000000e+02 2.170542635658914699e-01 1.217391304347826136e-01
4.400000000000000000e+01 7.500000000000000000e-01 7.300000000000000000e+01 9.705882352941176405e-01 7.021276595744680993e-01 3.600000000000000000e+01 1.000000000000000000e+02 8.461538461538461453e-01 7.021276595744680993e-01
5.300000000000000000e+01 6.981132075471697673e-01 7.300000000000000000e+01 6.851851851851852304e-01 5.285714285714285809e-01 4.300000000000000000e+01 1.000000000000000000e+02 6.915887850467289377e-01 5.285714285714285809e-01
2.600000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 9.285714285714286031e-01 1.900000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 9.285714285714286031e-01
3.400000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 9.444444444444444198e-01 2.500000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 9.444444444444444198e-01
5.200000000000000000e+01 5.384615384615384359e-01 7.300000000000000000e+01 9.333333333333333481e-01 5.185185185185184897e-01 4.300000000000000000e+01 1.000000000000000000e+02 6.829268292682927344e-01 5.185185185185184897e-01
1.290000000000000000e+02 4.728682170542635732e-01 7.300000000000000000e+01 1.757925072046109538e-01 1.455847255369928372e-01 1.040000000000000000e+02 1.000000000000000000e+02 2.563025210084033390e-01 1.455847255369928372e-01
1.400000000000000000e+02 3.214285714285714524e-01 7.300000000000000000e+01 5.232558139534884134e-01 1.931330472103004181e-01 1.440000000000000000e+02 1.000000000000000000e+02 3.982300884955752296e-01 1.931330472103004181e-01
1.360000000000000000e+02 3.529411764705882582e-01 7.300000000000000000e+01 8.000000000000000444e-01 2.790697674418604612e-01 1.270000000000000000e+02 1.000000000000000000e+02 4.897959183673469274e-01 2.790697674418604612e-01
1.090000000000000000e+02 6.055045871559633364e-01 7.300000000000000000e+01 1.958456973293768444e-01 1.709844559585492196e-01 7.900000000000000000e+01 1.000000000000000000e+02 2.959641255605381382e-01 1.709844559585492196e-01
1.410000000000000000e+02 3.404255319148936088e-01 7.300000000000000000e+01 6.956521739130434590e-01 2.758620689655172376e-01 1.280000000000000000e+02 1.000000000000000000e+02 4.571428571428571286e-01 2.758620689655172376e-01
6.000000000000000000e+00 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.200000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.200000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.600000000000000000e+01 1.956521739130434867e-01 7.300000000000000000e+01 9.000000000000000222e-01 1.914893617021276584e-01 4.300000000000000000e+01 1.000000000000000000e+02 3.214285714285714524e-01 1.914893617021276584e-01
1.200000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.540000000000000000e+02 5.454545454545454142e-01 7.300000000000000000e+01 1.155433287482806048e-01 9.988109393579072681e-02 1.350000000000000000e+02 1.000000000000000000e+02 1.906923950056753636e-01 9.988109393579072681e-02
1.230000000000000000e+02 6.504065040650406360e-01 7.300000000000000000e+01 3.674781809830041102e-02 3.571428571428571230e-02 1.010000000000000000e+02 1.000000000000000000e+02 6.956521739130434867e-02 3.571428571428571230e-02
1.140000000000000000e+02 6.578947368421053099e-01 7.300000000000000000e+01 5.208333333333333703e-01 3.588516746411483105e-01 9.600000000000000000e+01 1.000000000000000000e+02 5.813953488372093359e-01 3.588516746411483105e-01
1.350000000000000000e+02 5.777777777777777235e-01 7.300000000000000000e+01 6.500000000000000222e-01 3.959390862944162648e-01 1.140000000000000000e+02 1.000000000000000000e+02 6.117647058823529882e-01 3.959390862944162648e-01
1.130000000000000000e+02 6.106194690265486225e-01 7.300000000000000000e+01 5.000000000000000000e-01 2.974137931034482873e-01 1.030000000000000000e+02 1.000000000000000000e+02 5.498007968127489598e-01 2.974137931034482873e-01
1.600000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.200000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.600000000000000000e+01 4.166666666666666852e-01 7.300000000000000000e+01 9.375000000000000000e-01 4.054054054054054279e-01 3.200000000000000000e+01 1.000000000000000000e+02 5.769230769230768718e-01 4.054054054054054279e-01
2.600000000000000000e+01 6.538461538461538547e-01 7.300000000000000000e+01 9.444444444444444198e-01 5.862068965517240882e-01 2.200000000000000000e+01 1.000000000000000000e+02 7.727272727272727071e-01 5.862068965517240882e-01
2.000000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.200000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.400000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 9.444444444444444198e-01 2.600000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 9.444444444444444198e-01
4.400000000000000000e+01 7.045454545454545858e-01 7.300000000000000000e+01 9.687500000000000000e-01 6.888888888888888840e-01 3.600000000000000000e+01 1.000000000000000000e+02 8.157894736842105088e-01 6.888888888888888840e-01
5.800000000000000000e+01 5.172413793103448620e-01 7.300000000000000000e+01 9.375000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e+01 1.000000000000000000e+02 6.666666666666666297e-01 5.000000000000000000e-01
6.600000000000000000e+01 4.848484848484848619e-01 7.300000000000000000e+01 8.963585434173669542e-02 7.032967032967032961e-02 8.100000000000000000e+01 1.000000000000000000e+02 1.513002364066193817e-01 7.032967032967032961e-02
5.000000000000000000e+01 5.200000000000000178e-01 7.300000000000000000e+01 9.285714285714286031e-01 4.814814814814814548e-01 4.300000000000000000e+01 1.000000000000000000e+02 6.666666666666666297e-01 4.814814814814814548e-01
1.750000000000000000e+02 3.828571428571428403e-01 7.300000000000000000e+01 2.658730158730158721e-01 1.709183673469387710e-01 1.590000000000000000e+02 1.000000000000000000e+02 3.138173302107728491e-01 1.709183673469387710e-01
7.600000000000000000e+01 9.078947368421053099e-01 7.300000000000000000e+01 9.857142857142857650e-01 8.313253012048192891e-01 5.900000000000000000e+01 1.000000000000000000e+02 9.452054794520547976e-01 8.313253012048192891e-01
9.600000000000000000e+01 7.187500000000000000e-01 7.300000000000000000e+01 9.857142857142857650e-01 6.969696969696970168e-01 7.900000000000000000e+01 1.000000000000000000e+02 8.313253012048192891e-01 6.969696969696970168e-01
1.290000000000000000e+02 4.496124031007752153e-01 7.300000000000000000e+01 6.304347826086956763e-01 3.314285714285714057e-01 1.130000000000000000e+02 1.000000000000000000e+02 5.248868778280543212e-01 3.314285714285714057e-01
9.300000000000000000e+01 6.236559139784946248e-01 7.300000000000000000e+01 4.833333333333333370e-01 3.602484472049689579e-01 7.500000000000000000e+01 1.000000000000000000e+02 5.446009389671361278e-01 3.602484472049689579e-01
2.030000000000000000e+02 3.743842364532019573e-01 7.300000000000000000e+01 4.293785310734463123e-01 2.303030303030303150e-01 1.780000000000000000e+02 1.000000000000000000e+02 4.000000000000000222e-01 2.303030303030303150e-01
1.100000000000000000e+02 8.090909090909090828e-01 7.300000000000000000e+01 9.673913043478260532e-01 7.007874015748031260e-01 8.600000000000000000e+01 1.000000000000000000e+02 8.811881188118811936e-01 7.007874015748031260e-01
1.370000000000000000e+02 6.423357664233576569e-01 7.300000000000000000e+01 6.875000000000000000e-01 4.559585492227979375e-01 1.140000000000000000e+02 1.000000000000000000e+02 6.641509433962263786e-01 4.559585492227979375e-01
3.070000000000000000e+02 2.410423452768729602e-01 7.300000000000000000e+01 2.835249042145593923e-01 1.406844106463878419e-01 2.880000000000000000e+02 1.000000000000000000e+02 2.605633802816901268e-01 1.406844106463878419e-01
