# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	blocks	f1score	accuracy
2.500000000000000000e+01 4.400000000000000022e-01 1.050000000000000000e+02 4.932735426008968277e-02 4.641350210970464352e-02 8.600000000000000000e+01 1.000000000000000000e+02 8.870967741935484319e-02 4.641350210970464352e-02
3.700000000000000000e+01 2.702702702702702853e-01 2.270000000000000000e+02 5.411841108345058536e-04 5.403944879762226112e-04 2.260000000000000000e+02 1.000000000000000000e+02 1.080205238995409064e-03 5.403944879762226112e-04
3.500000000000000000e+01 3.428571428571428603e-01 1.670000000000000000e+02 1.463414634146341375e-01 1.142857142857142821e-01 1.670000000000000000e+02 1.000000000000000000e+02 2.051282051282051211e-01 1.142857142857142821e-01
3.500000000000000000e+01 3.142857142857142794e-01 1.540000000000000000e+02 2.663438256658595595e-03 2.648050072219547500e-03 1.520000000000000000e+02 1.000000000000000000e+02 5.282112845138055290e-03 2.648050072219547500e-03
3.300000000000000000e+01 3.636363636363636465e-01 1.120000000000000000e+02 1.499999999999999944e-01 1.188118811881188064e-01 1.120000000000000000e+02 1.000000000000000000e+02 2.123893805309734484e-01 1.188118811881188064e-01
3.600000000000000000e+01 3.611111111111111049e-01 9.000000000000000000e+01 6.500000000000000222e-01 3.023255813953488191e-01 9.000000000000000000e+01 1.000000000000000000e+02 4.642857142857143016e-01 3.023255813953488191e-01
5.000000000000000000e+00 8.000000000000000444e-01 2.100000000000000000e+01 8.000000000000000444e-01 6.666666666666666297e-01 2.100000000000000000e+01 1.000000000000000000e+02 8.000000000000000444e-01 6.666666666666666297e-01
5.000000000000000000e+00 2.000000000000000111e-01 3.600000000000000000e+01 2.500000000000000000e-01 1.250000000000000000e-01 3.600000000000000000e+01 1.000000000000000000e+02 2.222222222222222099e-01 1.250000000000000000e-01
5.000000000000000000e+00 8.000000000000000444e-01 3.100000000000000000e+01 8.000000000000000444e-01 6.666666666666666297e-01 3.100000000000000000e+01 1.000000000000000000e+02 8.000000000000000444e-01 6.666666666666666297e-01
5.000000000000000000e+00 8.000000000000000444e-01 1.500000000000000000e+01 8.000000000000000444e-01 6.666666666666666297e-01 1.500000000000000000e+01 1.000000000000000000e+02 8.000000000000000444e-01 6.666666666666666297e-01
4.000000000000000000e+00 1.000000000000000000e+00 1.200000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.200000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
