# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
4.130000000000000000e+02 8.619854721549636833e-01 9.300000000000000000e+01 2.974598930481283515e-02 2.960498960498960525e-02 9.300000000000000000e+01 5.750747112511105791e-02 2.960498960498960525e-02
4.440000000000000000e+02 7.837837837837837718e-01 9.300000000000000000e+01 5.608380338436744217e-02 5.522932867798761858e-02 9.900000000000000000e+01 1.046773950970070755e-01 5.522932867798761858e-02
2.520000000000000000e+02 5.119047619047618625e-01 9.300000000000000000e+01 9.923076923076923350e-01 5.098814229249012397e-01 9.900000000000000000e+01 6.753926701570680535e-01 5.098814229249012397e-01
5.420000000000000000e+02 9.391143911439114866e-01 9.300000000000000000e+01 3.716684921504198602e-02 3.707750582750582447e-02 8.600000000000000000e+01 7.150382805366299610e-02 3.707750582750582447e-02
2.240000000000000000e+02 5.089285714285713969e-01 9.300000000000000000e+01 1.000000000000000000e+00 5.089285714285713969e-01 9.900000000000000000e+01 6.745562130177514826e-01 5.089285714285713969e-01
2.400000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 6.315789473684210176e-01 6.315789473684210176e-01 1.700000000000000000e+01 7.741935483870967527e-01 6.315789473684210176e-01
1.200000000000000000e+02 5.166666666666667185e-01 9.300000000000000000e+01 8.378378378378378288e-01 4.696969696969697239e-01 4.800000000000000000e+01 6.391752577319587125e-01 4.696969696969697239e-01
1.850000000000000000e+02 5.405405405405405705e-01 9.300000000000000000e+01 9.803921568627450567e-01 5.347593582887700814e-01 8.300000000000000000e+01 6.968641114982578877e-01 5.347593582887700814e-01
4.200000000000000000e+01 7.380952380952381375e-01 9.300000000000000000e+01 1.000000000000000000e+00 7.380952380952381375e-01 2.500000000000000000e+01 8.493150684931506378e-01 7.380952380952381375e-01
6.950000000000000000e+02 7.942446043165467540e-01 9.300000000000000000e+01 6.245756958587915519e-02 6.146308874290168367e-02 9.600000000000000000e+01 1.158082450435329869e-01 6.146308874290168367e-02
5.560000000000000000e+02 7.679856115107913661e-01 9.300000000000000000e+01 4.177264723146155434e-02 4.125205294174475595e-02 9.900000000000000000e+01 7.923547968083131943e-02 4.125205294174475595e-02
6.120000000000000000e+02 6.715686274509803377e-01 9.300000000000000000e+01 8.909603295035768700e-02 8.537598670544245538e-02 9.900000000000000000e+01 1.573205741626794163e-01 8.537598670544245538e-02
6.150000000000000000e+02 7.674796747967479460e-01 9.300000000000000000e+01 4.363501895165017991e-02 4.306569343065693584e-02 9.100000000000000000e+01 8.257522743177046765e-02 4.306569343065693584e-02
5.750000000000000000e+02 6.695652173913043681e-01 9.300000000000000000e+01 8.563167259786476360e-02 8.215962441314554610e-02 9.900000000000000000e+01 1.518438177874186501e-01 8.215962441314554610e-02
4.400000000000000000e+01 9.772727272727272929e-01 9.300000000000000000e+01 1.000000000000000000e+00 9.772727272727272929e-01 3.300000000000000000e+01 9.885057471264367956e-01 9.772727272727272929e-01
4.000000000000000000e+01 8.750000000000000000e-01 9.300000000000000000e+01 1.000000000000000000e+00 8.750000000000000000e-01 2.300000000000000000e+01 9.333333333333333481e-01 8.750000000000000000e-01
8.700000000000000000e+01 6.551724137931034253e-01 9.300000000000000000e+01 1.000000000000000000e+00 6.551724137931034253e-01 3.700000000000000000e+01 7.916666666666666297e-01 6.551724137931034253e-01
9.300000000000000000e+01 7.419354838709677491e-01 9.300000000000000000e+01 9.885386819484240362e-02 9.556786703601108379e-02 3.300000000000000000e+01 1.744627054361567731e-01 9.556786703601108379e-02
1.040000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 1.407307171853856564e-01 1.407307171853856564e-01 4.400000000000000000e+01 2.467378410438908765e-01 1.407307171853856564e-01
7.330000000000000000e+02 7.394270122783083155e-01 9.300000000000000000e+01 9.647561409754361328e-02 9.330349457737992236e-02 9.900000000000000000e+01 1.706817823964729974e-01 9.330349457737992236e-02
4.840000000000000000e+02 5.020661157024793875e-01 9.300000000000000000e+01 9.918367346938775642e-01 5.000000000000000000e-01 9.900000000000000000e+01 6.666666666666666297e-01 5.000000000000000000e-01
8.870000000000000000e+02 7.722660653889514837e-01 9.300000000000000000e+01 5.217060167555217370e-02 5.138013801380138246e-02 9.600000000000000000e+01 9.773846044089319618e-02 5.138013801380138246e-02
6.880000000000000000e+02 5.014534883720930258e-01 9.300000000000000000e+01 9.829059829059828557e-01 4.971181556195965467e-01 9.900000000000000000e+01 6.641000962463907697e-01 4.971181556195965467e-01
3.600000000000000000e+02 5.472222222222222765e-01 9.300000000000000000e+01 9.949494949494949170e-01 5.457063711911357418e-01 9.900000000000000000e+01 7.060931899641577081e-01 5.457063711911357418e-01
4.070000000000000000e+02 8.280098280098280306e-01 9.300000000000000000e+01 1.186202041534670931e-01 1.157677773960838208e-01 6.600000000000000000e+01 2.075123152709359708e-01 1.157677773960838208e-01
8.200000000000000000e+01 6.951219512195121464e-01 9.300000000000000000e+01 1.000000000000000000e+00 6.951219512195121464e-01 2.400000000000000000e+01 8.201438848920863389e-01 6.951219512195121464e-01
9.300000000000000000e+01 8.064516129032257563e-01 9.300000000000000000e+01 4.120879120879120672e-01 3.750000000000000000e-01 5.100000000000000000e+01 5.454545454545454142e-01 3.750000000000000000e-01
6.800000000000000000e+01 8.823529411764705621e-01 9.300000000000000000e+01 6.818181818181817677e-01 6.250000000000000000e-01 4.300000000000000000e+01 7.692307692307692735e-01 6.250000000000000000e-01
2.200000000000000000e+02 7.818181818181818565e-01 9.300000000000000000e+01 7.341015791720016670e-02 7.193642827268925677e-02 7.000000000000000000e+01 1.342177136168552498e-01 7.193642827268925677e-02
6.620000000000000000e+02 5.000000000000000000e-01 9.300000000000000000e+01 9.821958456973294282e-01 4.955089820359281361e-01 9.900000000000000000e+01 6.626626626626627159e-01 4.955089820359281361e-01
1.014000000000000000e+03 7.268244575936884111e-01 9.300000000000000000e+01 8.235557045479942329e-02 7.988293951875136134e-02 9.700000000000000000e+01 1.479474053999799144e-01 7.988293951875136134e-02
8.040000000000000000e+02 6.057213930348258613e-01 9.300000000000000000e+01 1.381952326901248473e-01 1.267898984639416748e-01 9.900000000000000000e+01 2.250462107208872353e-01 1.267898984639416748e-01
2.480000000000000000e+02 5.201612903225806273e-01 9.300000000000000000e+01 1.000000000000000000e+00 5.201612903225806273e-01 9.900000000000000000e+01 6.843501326259946449e-01 5.201612903225806273e-01
1.240000000000000000e+03 7.500000000000000000e-01 9.300000000000000000e+01 7.305577376276511936e-02 7.131901840490798006e-02 1.000000000000000000e+02 1.331424481030780149e-01 7.131901840490798006e-02
2.620000000000000000e+02 8.931297709923664563e-01 9.300000000000000000e+01 2.925000000000000169e-02 2.914798206278026993e-02 4.500000000000000000e+01 5.664488017429193667e-02 2.914798206278026993e-02
6.300000000000000000e+01 9.682539682539682557e-01 9.300000000000000000e+01 1.708683473389355778e-01 1.699164345403899601e-01 3.300000000000000000e+01 2.904761904761904989e-01 1.699164345403899601e-01
1.580000000000000000e+02 6.139240506329114444e-01 9.300000000000000000e+01 9.699999999999999734e-01 6.024844720496894679e-01 6.600000000000000000e+01 7.519379844961240345e-01 6.024844720496894679e-01
5.800000000000000000e+01 8.448275862068965747e-01 9.300000000000000000e+01 1.000000000000000000e+00 8.448275862068965747e-01 3.100000000000000000e+01 9.158878504672897103e-01 8.448275862068965747e-01
4.800000000000000000e+01 9.791666666666666297e-01 9.300000000000000000e+01 9.399999999999999467e-01 9.215686274509803377e-01 3.300000000000000000e+01 9.591836734693877098e-01 9.215686274509803377e-01
1.159000000000000000e+03 6.574633304572907733e-01 9.300000000000000000e+01 6.089666746583553142e-02 5.902401239349341910e-02 9.800000000000000000e+01 1.114686951433586926e-01 5.902401239349341910e-02
1.266000000000000000e+03 7.630331753554502328e-01 9.300000000000000000e+01 3.056285000158192808e-02 3.027548813739931732e-02 1.000000000000000000e+02 5.877163629726523536e-02 3.027548813739931732e-02
1.400000000000000000e+03 6.921428571428571708e-01 9.300000000000000000e+01 1.129633947307064623e-01 1.075591075591075529e-01 1.000000000000000000e+02 1.942273000601322797e-01 1.075591075591075529e-01
1.094000000000000000e+03 7.029250457038390687e-01 9.300000000000000000e+01 4.998375040623984078e-02 4.894971355824315890e-02 9.900000000000000000e+01 9.333090600157777084e-02 4.894971355824315890e-02
3.460000000000000000e+02 5.086705202312138407e-01 9.300000000000000000e+01 9.943502824858757583e-01 5.072046109510086609e-01 9.900000000000000000e+01 6.730401529636711455e-01 5.072046109510086609e-01
3.390000000000000000e+02 7.197640117994100750e-01 9.300000000000000000e+01 7.966046359777995134e-02 7.726409119696010797e-02 9.900000000000000000e+01 1.434450323339212241e-01 7.726409119696010797e-02
2.340000000000000000e+02 9.444444444444444198e-01 9.300000000000000000e+01 4.842243645924627221e-02 4.828490277474328102e-02 8.800000000000000000e+01 9.212171738224260442e-02 4.828490277474328102e-02
2.510000000000000000e+02 8.804780876494023856e-01 9.300000000000000000e+01 4.810622551153678761e-02 4.779411764705882026e-02 7.900000000000000000e+01 9.122807017543860253e-02 4.779411764705882026e-02
2.270000000000000000e+02 8.149779735682819437e-01 9.300000000000000000e+01 4.203590093160645275e-02 4.163853252306999597e-02 6.300000000000000000e+01 7.994814174589455480e-02 4.163853252306999597e-02
3.080000000000000000e+02 7.954545454545454142e-01 9.300000000000000000e+01 8.454106280193236789e-02 8.274231678486997088e-02 6.900000000000000000e+01 1.528384279475982488e-01 8.274231678486997088e-02
1.450000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 1.589912280701754471e-02 1.589912280701754471e-02 5.500000000000000000e+01 3.130059363194818978e-02 1.589912280701754471e-02
4.420000000000000000e+02 7.986425339366516329e-01 9.300000000000000000e+01 3.344703429979154624e-02 3.316734003570422085e-02 9.300000000000000000e+01 6.420516551473262612e-02 3.316734003570422085e-02
2.410000000000000000e+02 9.294605809128630991e-01 9.300000000000000000e+01 3.256760686246001901e-02 3.248730964467005239e-02 7.800000000000000000e+01 6.293018682399213748e-02 3.248730964467005239e-02
2.110000000000000000e+02 8.767772511848340722e-01 9.300000000000000000e+01 4.397432850011884914e-02 4.370422867942357764e-02 6.400000000000000000e+01 8.374830239927569253e-02 4.370422867942357764e-02
4.580000000000000000e+02 9.104803493449781238e-01 9.300000000000000000e+01 4.371527413775028875e-02 4.352818371607515557e-02 7.200000000000000000e+01 8.342502750825248059e-02 4.352818371607515557e-02
6.000000000000000000e+01 7.333333333333332815e-01 9.300000000000000000e+01 1.000000000000000000e+00 7.333333333333332815e-01 2.200000000000000000e+01 8.461538461538461453e-01 7.333333333333332815e-01
3.000000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.677419354838709964e-01 9.677419354838709964e-01 2.200000000000000000e+01 9.836065573770491621e-01 9.677419354838709964e-01
3.600000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 9.729729729729730270e-01 9.729729729729730270e-01 2.800000000000000000e+01 9.863013698630136439e-01 9.729729729729730270e-01
8.800000000000000000e+01 9.090909090909090606e-01 9.300000000000000000e+01 5.839416058394160114e-01 5.517241379310344751e-01 4.500000000000000000e+01 7.111111111111111382e-01 5.517241379310344751e-01
2.240000000000000000e+02 5.044642857142856984e-01 9.300000000000000000e+01 9.186991869918699205e-01 4.829059829059829112e-01 9.100000000000000000e+01 6.512968299711815456e-01 4.829059829059829112e-01
1.500000000000000000e+02 7.933333333333333348e-01 9.300000000000000000e+01 3.749212350346566025e-02 3.712948517940717341e-02 5.000000000000000000e+01 7.160048134777376172e-02 3.712948517940717341e-02
1.980000000000000000e+02 6.515151515151514916e-01 9.300000000000000000e+01 9.499263622974962740e-02 9.039943938332165030e-02 5.000000000000000000e+01 1.658097686375321345e-01 9.039943938332165030e-02
3.100000000000000000e+02 5.032258064516128560e-01 9.300000000000000000e+01 9.397590361445783413e-01 4.874999999999999889e-01 1.190000000000000000e+02 6.554621848739495826e-01 4.874999999999999889e-01
1.780000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 2.598540145985401284e-01 2.598540145985401284e-01 8.500000000000000000e+01 4.125144843568945285e-01 2.598540145985401284e-01
2.350000000000000000e+02 6.851063829787233939e-01 9.300000000000000000e+01 2.480739599383667282e-01 2.226832641770401244e-01 8.900000000000000000e+01 3.642533936651583537e-01 2.226832641770401244e-01
2.030000000000000000e+02 7.980295566502463300e-01 9.300000000000000000e+01 2.040302267002518932e-01 1.940119760479041833e-01 6.300000000000000000e+01 3.249749247743229930e-01 1.940119760479041833e-01
1.680000000000000000e+02 6.130952380952381375e-01 9.300000000000000000e+01 1.000000000000000000e+00 6.130952380952381375e-01 5.900000000000000000e+01 7.601476014760147892e-01 6.130952380952381375e-01
5.400000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 3.354037267080745566e-01 3.354037267080745566e-01 3.100000000000000000e+01 5.023255813953488857e-01 3.354037267080745566e-01
1.380000000000000000e+02 7.826086956521739468e-01 9.300000000000000000e+01 3.253012048192771011e-01 2.983425414364641037e-01 7.800000000000000000e+01 4.595744680851063801e-01 2.983425414364641037e-01
2.070000000000000000e+02 8.937198067632849963e-01 9.300000000000000000e+01 8.001730103806228844e-02 7.926306769494430304e-02 5.200000000000000000e+01 1.468836840015879386e-01 7.926306769494430304e-02
2.770000000000000000e+02 7.364620938628159141e-01 9.300000000000000000e+01 2.588832487309644659e-01 2.369337979094076618e-01 1.050000000000000000e+02 3.830985915492957639e-01 2.369337979094076618e-01
1.460000000000000000e+02 8.767123287671232390e-01 9.300000000000000000e+01 1.602002503128911182e-01 1.566707466340269139e-01 5.700000000000000000e+01 2.708994708994709177e-01 1.566707466340269139e-01
2.020000000000000000e+02 5.742574257425742124e-01 9.300000000000000000e+01 9.206349206349205838e-01 5.471698113207547065e-01 7.600000000000000000e+01 7.073170731707316694e-01 5.471698113207547065e-01
2.530000000000000000e+02 7.905138339920948498e-01 9.300000000000000000e+01 1.203369434416365763e-01 1.166180758017492658e-01 8.200000000000000000e+01 2.088772845953002499e-01 1.166180758017492658e-01
1.190000000000000000e+02 7.394957983193277684e-01 9.300000000000000000e+01 9.777777777777777457e-01 7.272727272727272929e-01 4.700000000000000000e+01 8.421052631578946901e-01 7.272727272727272929e-01
3.800000000000000000e+01 9.473684210526315264e-01 9.300000000000000000e+01 9.729729729729730270e-01 9.230769230769231282e-01 2.600000000000000000e+01 9.599999999999999645e-01 9.230769230769231282e-01
9.000000000000000000e+01 6.444444444444444864e-01 9.300000000000000000e+01 1.000000000000000000e+00 6.444444444444444864e-01 3.600000000000000000e+01 7.837837837837837718e-01 6.444444444444444864e-01
8.600000000000000000e+01 6.627906976744185608e-01 9.300000000000000000e+01 1.000000000000000000e+00 6.627906976744185608e-01 3.400000000000000000e+01 7.972027972027971865e-01 6.627906976744185608e-01
4.800000000000000000e+01 7.500000000000000000e-01 9.300000000000000000e+01 2.769230769230769384e-01 2.535211267605633756e-01 2.500000000000000000e+01 4.044943820224718989e-01 2.535211267605633756e-01
6.700000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 4.855072463768115854e-01 4.855072463768115854e-01 4.300000000000000000e+01 6.536585365853658791e-01 4.855072463768115854e-01
9.200000000000000000e+01 8.913043478260869179e-01 9.300000000000000000e+01 7.149084568439406651e-02 7.087294727744165856e-02 3.500000000000000000e+01 1.323648103309120194e-01 7.087294727744165856e-02
6.600000000000000000e+01 8.181818181818182323e-01 9.300000000000000000e+01 1.000000000000000000e+00 8.181818181818182323e-01 3.600000000000000000e+01 9.000000000000000222e-01 8.181818181818182323e-01
